sn,batch,section,id,en_url,ru_url,en_extracted,ui_sweep,ru_copy,route,gated,seo_meta,verify,browser_qa,status,notes
1,1,Home,/,http://localhost:3002/,http://localhost:3002/ru,n/a,done,done,done,done,done,done,done,done,
2,1,Tools,upscale-image,http://localhost:3002/upscale-image,http://localhost:3002/ru/upscale-image,done,done,done,done,done,done,done,done,done,
3,1,Tools,remove-background,http://localhost:3002/remove-background,http://localhost:3002/ru/remove-background,done,done,done,done,done,done,done,done,done,
4,1,Tools,compress-image,http://localhost:3002/compress-image,http://localhost:3002/ru/compress-image,done,done,done,done,done,done,done,done,done,
5,1,Tools,crop-image,http://localhost:3002/crop-image,http://localhost:3002/ru/crop-image,done,done,done,done,done,done,done,done,done,
6,2,Tools,resize-image,http://localhost:3002/resize-image,http://localhost:3002/ru/resize-image,done,done,done,done,done,done,done,done,done,
7,2,Tools,image-editor,http://localhost:3002/image-editor,http://localhost:3002/ru/image-editor,done,done,done,done,done,done,done,done,done,
8,2,Tools,blur-image,http://localhost:3002/blur-image,http://localhost:3002/ru/blur-image,done,done,done,done,done,done,done,done,done,
9,2,Tools,heic-to-jpg,http://localhost:3002/heic-to-jpg,http://localhost:3002/ru/heic-to-jpg,done,done,done,done,done,done,done,done,done,
10,2,Tools,image-to-text,http://localhost:3002/image-to-text,http://localhost:3002/ru/image-to-text,done,done,done,done,done,done,done,done,done,
11,3,Tools,convert-to-jpg,http://localhost:3002/convert-to-jpg,http://localhost:3002/ru/convert-to-jpg,done,done,done,done,done,done,done,done,done,
12,3,Tools,image-to-pdf,http://localhost:3002/image-to-pdf,http://localhost:3002/ru/image-to-pdf,done,done,done,done,done,done,done,done,done,
13,3,Tools,grayscale-image,http://localhost:3002/grayscale-image,http://localhost:3002/ru/grayscale-image,done,done,done,done,done,done,done,done,done,
14,3,Tools,merge-images,http://localhost:3002/merge-images,http://localhost:3002/ru/merge-images,done,done,done,done,done,done,done,done,done,
15,3,Tools,image-color-picker,http://localhost:3002/image-color-picker,http://localhost:3002/ru/image-color-picker,done,done,done,done,done,done,done,done,done,
16,4,Legal,/privacy,http://localhost:3002/privacy,http://localhost:3002/ru/privacy,n/a,done,done,done,done,done,done,done,done,
17,4,Legal,/terms,http://localhost:3002/terms,http://localhost:3002/ru/terms,n/a,done,done,done,done,done,done,done,done,
18,4,Legal,/refunds,http://localhost:3002/refunds,http://localhost:3002/ru/refunds,n/a,done,done,done,done,done,done,done,done,
19,4,Legal,/cookies,http://localhost:3002/cookies,http://localhost:3002/ru/cookies,n/a,done,done,done,done,done,done,done,done,
20,5,Tools,webp-to-png,http://localhost:3002/webp-to-png,http://localhost:3002/ru/webp-to-png,n/a,done,done,done,done,done,done,done,done,
