sn,batch,section,id,en_url,pt_url,en_extracted,ui_sweep,pt_copy,route,gated,seo_meta,verify,browser_qa,status,notes
1,1,Home,/,http://localhost:3002/,http://localhost:3002/pt,n/a,done,done,done,done,done,done,done,done,
2,1,Tools,compress-image,http://localhost:3002/compress-image,http://localhost:3002/pt/comprimir-imagem,done,done,done,done,done,done,done,done,done,
3,1,Tools,resize-image,http://localhost:3002/resize-image,http://localhost:3002/pt/redimensionar-imagem,done,done,done,done,done,done,done,done,done,
4,1,Tools,remove-background,http://localhost:3002/remove-background,http://localhost:3002/pt/remover-fundo,done,done,done,done,done,done,done,done,done,backend errors verified translated (rembg not installed locally)
5,1,Tools,image-to-text,http://localhost:3002/image-to-text,http://localhost:3002/pt/imagem-em-texto,done,done,done,done,done,done,done,done,done,"pt slug changed to imagem-em-texto (SERP: ""converter imagem em texto""); EN module still claims image is never uploaded — tool is server-first"
6,2,Tools,crop-image,http://localhost:3002/crop-image,http://localhost:3002/pt/recortar-imagem,done,done,done,done,done,done,done,done,done,
7,2,Tools,png-to-jpg,http://localhost:3002/png-to-jpg,http://localhost:3002/pt/png-para-jpg,done,done,done,done,done,done,done,done,done,
8,2,Tools,jpg-to-png,http://localhost:3002/jpg-to-png,http://localhost:3002/pt/jpg-para-png,done,done,done,done,done,done,done,done,done,
9,2,Tools,convert-to-jpg,http://localhost:3002/convert-to-jpg,http://localhost:3002/pt/converter-para-jpg,done,done,done,done,done,done,done,done,done,
10,2,Tools,image-to-pdf,http://localhost:3002/image-to-pdf,http://localhost:3002/pt/imagem-para-pdf,done,done,done,done,done,done,done,done,done,fixed Legal→Jurídico key collision (paper size) and id-derived fit labels
11,3,Tools,upscale-image,http://localhost:3002/upscale-image,http://localhost:3002/pt/melhorar-qualidade-imagem,done,done,done,done,done,done,done,done,done,
12,3,Tools,image-editor,http://localhost:3002/image-editor,http://localhost:3002/pt/editor-de-fotos,done,done,done,done,done,done,done,done,done,
13,3,Tools,watermark-image,http://localhost:3002/watermark-image,http://localhost:3002/pt/colocar-marca-dagua,done,done,done,done,done,done,done,done,done,"slug changed to colocar-marca-dagua (SERP: ""colocar marca d’água em foto"")"
14,3,Tools,rotate-image,http://localhost:3002/rotate-image,http://localhost:3002/pt/girar-imagem,done,done,done,done,done,done,done,done,done,
15,3,Tools,heic-to-jpg,http://localhost:3002/heic-to-jpg,http://localhost:3002/pt/heic-para-jpg,done,done,done,done,done,done,done,done,done,"EN FAQ wrongly says EXIF is dropped; pt follows the code (EXIF kept, strip checkbox)"
16,4,Tools,blur-face,http://localhost:3002/blur-face,http://localhost:3002/pt/desfocar-rosto,done,done,done,done,done,done,done,done,done,
17,4,Tools,meme-generator,http://localhost:3002/meme-generator,http://localhost:3002/pt/gerador-de-memes,done,done,done,done,done,done,done,done,done,
18,4,Tools,merge-images,http://localhost:3002/merge-images,http://localhost:3002/pt/juntar-imagens,done,done,done,done,done,done,done,done,done,
19,4,Tools,gif-maker,http://localhost:3002/gif-maker,http://localhost:3002/pt/criar-gif,done,done,done,done,done,done,done,done,done,
20,4,Tools,gif-to-images,http://localhost:3002/gif-to-images,http://localhost:3002/pt/gif-para-imagens,done,done,done,done,done,done,done,done,done,
21,5,Tools,grayscale-image,http://localhost:3002/grayscale-image,http://localhost:3002/pt/imagem-preto-e-branco,done,done,done,done,done,done,done,done,done,
22,5,Tools,blur-image,http://localhost:3002/blur-image,http://localhost:3002/pt/desfocar-imagem,done,done,done,done,done,done,done,done,done,
23,5,Tools,add-border,http://localhost:3002/add-border,http://localhost:3002/pt/adicionar-borda,done,done,done,done,done,done,done,done,done,
24,5,Tools,circle-crop,http://localhost:3002/circle-crop,http://localhost:3002/pt/recortar-imagem-em-circulo,done,done,done,done,done,done,done,done,done,
25,5,Tools,html-to-image,http://localhost:3002/html-to-image,http://localhost:3002/pt/html-para-imagem,done,done,done,done,done,done,done,done,done,
